匯入序號,捕捉日期時間,表格類別,資料頁碼,繫放員,捕捉代碼,環號,第1色環,第2色環,第3色環,物種名,年齡,年齡依據一,年齡依據二,性別,性別依據一,性別依據二,頭骨,泄殖腔,孵卵斑,脂肪量,體換羽,飛羽換羽,飛羽磨損,幼鳥羽衣,初級覆羽世代,次級覆羽世代,初級飛羽世代,次級飛羽世代,三級飛羽世代,尾羽世代,體羽世代,非羽區世代,自然翼長,最大翼長,尾長,體重,繫放狀態,網號,留置狀況,嘴長測量方法,嘴長,全頭長,跗蹠長,虹膜色,換羽模式P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,抽血數,恥骨寬,活動分類,註記,F62,繫放站,問題修正
20159145,2015/11/29,新鳥用,4,蘇美如,N,K36029,O,R,M,灰頭鷦鶯,0,,,U,,,6,0,0,1,0,N,2,0,,,,,,,,,42,44,66,7,1,8,,3,13.3,28,19.9,,,,,,,,,,,,,,O,嘴內不黑,,合作社,
2016R142,2016/3/6,回收,1,賴佳郎,R,K36029,O,R,M,灰頭鷦鶯,1,S,,F,I,,6,0,0,0,1,N,2,0,,,,,,,,,42.5,44,58,7.5,1,33,,3,13.6,27.8,20.5,,,,,,,,,,,,,,O,,,湖本合作社,
20159146,2015/11/29,新鳥用,4,蘇美如,N,K36031,O,R,B,灰頭鷦鶯,0,,,M,I,,6,0,0,0,1,N,2,0,,,,,,,,,45,47,76,7.3,1,14,,3,13.5,28.8,20.9,,,,,,,,,,,,,,O,腹部換羽 嘴內微黑,,合作社,
2016T173,2016/12/4,回收,1,柯伶樺,R,K36031,O,R,B,灰頭鷦鶯,0,,,U,,,6,0,0,1,1,N,1,0,,,,,,,,,45,47,80,7.5,1,7,,,,,,,,,,,,,,,,,,,T,,,大埔溪,
20170832,2017/2/26,回收,2,吳采諭,R,K36031,O,R,B,灰頭鷦鶯,1,S,,U,,,6,0,0,0,1,N,1,0,,,,,,,,,46.5,47,81.5,7.5,1,6,,,,,,,,,,,,,,,,,,,M,"鳥狀況不太好,故次要未測",,大埔溪,
20170861,2017/4/16,回收,4,陳懿文,R,K36031,O,R,B,灰頭鷦鶯,1,S,,M,I,,6,1,0,0,0,N,3,0,,,,,,,,,42,43,80,7,1,7,,3,11.9,28.7,21.9,123B,,,,,,,,,,,,,M,,,大埔溪,
2016R129,2016/3/6,新鳥用,1,林瑞興,N,K36036,DG,M,B,灰頭鷦鶯,1,S,,F,I,,6,0,0,2,1,N,3,0,,,,,,,,,42,44.5,,7.5,1,1,,,,,,,,,,,,,,,,,,,O,中央尾羽磨損嚴重(尾羽有2世代)色環上到褐頭的,,湖本合作社,
2016R139,2016/3/6,新鳥用,1,蘇美如,N,K36040,Y,M,DP,灰頭鷦鶯,1,S,,F,I,,6,0,0,1,4,N,3,0,,,,,,,,,42.5,45,62,7,1,33,,,,,,,,,,,,,,,,,,,O,尾羽對稱換羽,,湖本合作社,
2016R152,2016/3/6,回收,3,賴佳郎,R,K36040,Y,M,DP,灰頭鷦鶯,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22,,,,,,,,,,,,,,,,,,,O,當日回收,,湖本合作社,
2016R140,2016/3/6,新鳥用,1,柯佳雯,N,K36041,Y,M,W,灰頭鷦鶯,1,S,,F,I,,6,0,0,2,1,N,1,0,,,,,,,,,42.5,45,,7.2,1,40,,3,13.2,28.5,20.8,,,,,,,,,,,,,,O,尾羽磨損嚴重不量,,湖本合作社,
2016R141,2016/3/6,新鳥用,1,林佩蓉,N,K36042,Y,DP,R,灰頭鷦鶯,1,S,,M,I,,6,1,1,1,0,N,2,0,,,,,,,,,44,45,,7,1,8,,3,14.1,28.4,20.9,,,,,,,,,,,,,,O,中央尾羽換羽,,湖本合作社,
2016R146,2016/3/6,新鳥用,1,柯佳雯,N,K36043,Y,R,B,灰頭鷦鶯,1,S,,F,I,,6,0,0,2,1,N,2,0,,,,,,,,,41.5,43,,7.4,1,10,,3,13,28.6,20.3,,,,,,,,,,,,,,O,,,湖本合作社,
2016T175,2016/12/4,新鳥用,1,陳嘉宏,N,K36076,,,,灰頭鷦鶯,0,,,U,,,6,0,0,0,0,N,1,0,,,,,,,,,42.5,45,69,6.5,3,1,,3,14.5,28.3,19.7,123A,,,,,,,,,,,,,T,,,大埔溪,
2016T189,2016/12/10,回收,1,張安瑜,R,K36076,,,,灰頭鷦鶯,,,,,,,6,0,0,0,0,S,1,0,,,,,,,,,41.5,42,68.5,6,3,1,,3,13,28,20,40,,,,,,,,,,,,,T,S4-5換羽中,,大埔溪,
20170807,2017/2/26,回收,1,柯伶樺,R,K36076,O,M,Y,灰頭鷦鶯,1,S,,F,I,,6,0,0,1,0,N,2,0,,,,,,,,,44,46,60,6.5,1,1,,3,10.9,28.4,20.1,221B,,,,,,,,,,,,,M,"喙邊綠黑,內部肉色",,大埔溪,
2016T177,2016/12/4,新鳥用,1,蘇志盛,N,K36078,,,,灰頭鷦鶯,0,,,U,,,6,0,0,1,4,S,0,0,,,,,,,,,44,46,70,6.5,3,7,,,,,,,,,,,,,,,,,,,T,逃逸,,大埔溪,
20170852,2017/4/16,回收,3,簡安祿,R,K36078,Y,Y,O,灰頭鷦鶯,1,S,,U,,,6,0,0,0,0,N,2,0,,,,,,,,,45,46,63,6.5,1,6,,3,11.4,27.7,21.1,,,,,,,,,,,,,,M,,,大埔溪,
2016T195,2016/12/10,新鳥用,1,李益鑫,N,K36082,,,,灰頭鷦鶯,0,,,U,,,6,0,0,0,0,N,1,0,,,,,,,,,42,45,68.5,6.5,3,6,,3,14.6,27.8,19.9,123B,,,,,,,,,,,,,T,,,大埔溪,
2016T217,2016/12/10,回收,1,蔡繼鋒,R,K36082,,,,灰頭鷦鶯,1,S,,U,,,6,0,0,0,0,N,2,0,,,,,,,,,44,46,69,6.8,3,3,,3,13.4,29,20.5,121B,,,,,,,,,,,,,T,,,大埔溪,
2016T241,2016/12/11,新鳥用,2,李益鑫,N,K36088,,,,灰頭鷦鶯,0,,,U,,,6,0,0,0,0,N,2,0,,,,,,,,,45,47,78,6.5,3,7,,3,13.8,28.6,20.6,123A,,,,,,,,,,,,,T,,,大埔溪,
20170820,2017/2/26,回收,1,陳淑琴,R,K36088,Y,O,R,灰頭鷦鶯,1,S,,M,I,,6,0,0,1,0,N,2,0,,,,,,,,,45.5,46.5,,7,1,4,,3,13.6,27.9,20.2,41,,,,,,,,,,,,,M,"尾羽磨損嚴重,嘴內黑色",,大埔溪,
20170833,2017/2/26,回收,2,吳采諭,R,K36088,Y,O,R,灰頭鷦鶯,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,1,,,,,,,,,,,,,,,,,,,M,繫放聯誼組/當日回收,,大埔溪,
2016T247,2016/12/11,新鳥用,1,蘇志盛,N,K36089,,,,灰頭鷦鶯,0,,,U,,,6,0,0,1,1,N,2,0,,,,,,,,,42,44,65.5,,3,8,,,,,,,,,,,,,,,,,,,T,中途逃逸,,大埔溪,
2012B001,2012/9/6,新鳥用,1,梅允文,N,K36101,,,,灰頭鷦鶯,1,S,,U,,,6,0,4,2,1,S,4,0,,,,,,,,,42.5,44.5,53,7,3,2,,2,11.3,29.5,20.6,,5,5,5,5,5,5,5,5,1,,,,B,"虹膜黃褐色,疑似母鳥",,東魚塭,
2012B003,2012/9/6,新鳥用,1,姚牧君,N,K36103,,,,灰頭鷦鶯,1,S,,U,,,6,0,0,0,0,N,3,0,,,,,,,,,45,46,60,6.7,3,99,,2,11.6,29.5,21.2,,,,,,,,,,,,,,B,虹膜黃褐色,,東魚塭,
2012B076,2012/10/6,新鳥用,1,姚牧君,N,K36113,,,,灰頭鷦鶯,1,S,,U,,,6,0,0,1,4,S,1,0,,,,,,,,,42.5,43,,7.2,3,6,,2,11,29.1,19.6,,5,5,5,5,4,3,1,0,0,0,,,B,尾羽換羽,,東魚塭,
2012B101,2012/10/28,新鳥用,2,林瑞興,N,K36127,,,,灰頭鷦鶯,0,,,U,,,6,0,0,3,2,N,1,0,,,,,,,,,45,47.7,,7.8,3,7,,3,12.9,29.5,21.2,,,,,,,,,,,,,,B,尾羽換羽中,,東魚塭,
2012B107,2012/11/10,新鳥用,2,張仁川,N,K36132,,,,灰頭鷦鶯,2,S,,U,,,4,0,0,0,0,N,1,3,,,,,,,,,43.5,45,72,7,3,7,,2,10.4,28.4,20.4,,,,,,,,,,,,,,B,,,東魚塭,
2012B187,2012/12/15,新鳥用,3,吳世鴻,N,K36153,,,,灰頭鷦鶯,0,,,U,,,6,0,0,2,0,N,1,0,,,,,,,,,45,48,88,7.4,3,6,,3,13.3,28.8,21.1,,,,,,,,,,,,,,B,,,東魚塭,
2013B004,2013/2/23,新鳥用,1,魏廷羽,N,k36162,,,,灰頭鷦鶯,1,S,,U,,,6,0,0,0,1,N,2,0,,,,,,,,,43,44,,6.8,3,7,,3,15.2,27.8,19.1,,,,,,,,,,,,,,B,尾羽磨損嚴重,,東魚塭,
2013B032,2013/3/16,新鳥用,1,張仁川,N,K36168,,,,灰頭鷦鶯,1,S,,U,,,6,0,0,1,2,N,1,0,,,,,,,,,45,46.5,81,8,3,8,,3,14.6,28.2,20.4,,,,,,,,,,,,,,B,,,東魚塭,
2013B035,2013/3/16,新鳥用,2,張秉元,N,K36171,,,,灰頭鷦鶯,1,S,,U,,,6,0,0,0,1,N,2,0,,,,,,,,,45.5,46,79,7.5,3,2,,3,13.2,29.7,19.9,,,,,,,,,,,,,,B,,,東魚塭,
2013B041,2013/4/14,新鳥用,2,李昶誠,N,K36173,,,,灰頭鷦鶯,1,S,,U,,,6,0,0,1,0,N,1,0,,,,,,,,,45,46,84,7.5,3,10,,3,14.3,29,21.4,,,,,,,,,,,,,,B,,,東魚塭,
2013B042,2013/4/14,新鳥用,2,徐紫欽,N,K36174,,,,灰頭鷦鶯,1,S,,U,,,6,0,0,0,1,N,1,0,,,,,,,,,44,45.5,65,8,3,10,,3,13.7,28.9,19.9,,,,,,,,,,,,,,B,,,東魚塭,
2013B065,2013/4/21,回收,2,林幸愉,R,K36174,,,,灰頭鷦鶯,,,,F,C,,6,5,0,3,1,N,1,0,,,,,,,,,,,,9,3,10,,3,,,,,,,,,,,,,,,,,B,疑似快下蛋，僅優先檢視。孵卵班將近1，但中央仍有多量羽毛,,東魚塭,
2013B043,2013/4/14,新鳥用,2,陳柏均,N,K36175,,,,灰頭鷦鶯,1,S,,U,,,6,0,0,0,1,N,1,0,,,,,,,,,44,45,67,8.3,3,10,,3,11.8,28.1,23,,,,,,,,,,,,,,B,,,東魚塭,
2013B066,2013/5/25,新鳥用,3,洪孝宇,N,K36183,,,,灰頭鷦鶯,1,S,,U,,,6,1,0,1,0,N,2,9,,,,,,,,,44.5,45,,7,3,8,,3,13.8,28.6,20.1,,,,,,,,,,,,,,B,尾羽換羽中,,東魚塭,
2013B067,2013/5/25,新鳥用,3,汪采葳,N,K36184,,,,灰頭鷦鶯,1,S,,U,,,6,0,0,1,0,N,2,9,,,,,,,,,43,45,66,7,3,1,,3,13.2,28.9,20.5,,,,,,,,,,,,,,B,,,東魚塭,
2013B068,2013/5/25,新鳥用,3,徐紫欽,N,K36185,,,,灰頭鷦鶯,1,S,,U,,,6,5,3,0,0,N,1,9,,,,,,,,,42.5,53.5,37.5,7.5,3,9,,3,15.1,28.9,19.9,,,,,,,,,,,,,,B,,,東魚塭,
2013B070,2013/5/25,新鳥用,3,汪采葳,N,K36187,,,,灰頭鷦鶯,2,S,,U,,,3,0,0,1,1,N,2,9,,,,,,,,,44.5,45.5,,,3,1,,,,,,,,,,,,,,,,,,,B,尾羽換羽中。測量時逃逸。,,東魚塭,
2013B071,2013/5/25,新鳥用,3,洪孝宇,N,K36188,,,,灰頭鷦鶯,1,S,,U,,,6,1,2,2,0,N,1,9,,,,,,,,,44,45.5,60,7.5,3,8,,3,14,28.9,20,,,,,,,,,,,,,,B,,,東魚塭,
2012B211,2012/9/6,新鳥用,1,徐紫欽,N,K36502,,,,灰頭鷦鶯,1,S,,U,,,6,0,0,1,0,N,0,0,,,,,,,,,44,44.5,62,7.5,3,2,,2,11,28.1,21.2,,,,,,,,,,,,,,B,,,頂頭額,
2012B347,2012/12/15,回收,1,汪采葳,R,K36502,,,,灰頭鷦鶯,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,,,,,,,,,,,,,,,,B,中途逃逸,,頂頭額,
2012B279,2012/11/17,新鳥用,3,林瑞興,N,K36542,,,,灰頭鷦鶯,0,,,U,,,6,0,0,3,1,N,1,0,,,,,,,,,45.5,47,75.5,7.7,3,7,,3,14,29.4,20.8,,,,,,,,,,,,,,B,"中央尾羽有一根成長中,長4mm",,頂頭額,
2012B323,2012/12/9,回收,1,林忠明,R,K36542,,,,灰頭鷦鶯,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,,,,,,,,,,,,,,,,B,,,頂頭額,
2012B280,2012/11/18,新鳥用,3,林瑞興,N,K36543,,,,灰頭鷦鶯,0,,,U,,,6,0,0,1,1,N,0,0,,,,,,,,,44.5,47.5,73,6.9,3,6,,3,14.6,29.1,20.8,223B,,,,,,,,,,,,,B,,,頂頭額,
2013B087,2013/2/24,回收,1,楊淑絹,R,K36543,,,,灰頭鷦鶯,1,S,,U,,,6,0,0,4,0,N,2,0,,,,,,,,,45,46,,7.5,3,6,,3,13.4,28.1,20.5,,,,,,,,,,,,,,B,尾羽磨損嚴重,,尖仔尾,
2013B106,2013/4/13,回收,1,陳裔璿,R,K36543,,,,灰頭鷦鶯,,,,U,,,,0,0,0,0,N,1,0,,,,,,,,,43,45,59,7.5,3,14,,3,13.8,28.8,20,,,,,,,,,,,,,,B,,,尖仔尾,
2012B307,2012/12/2,新鳥用,3,李昶誠,N,K36548,,,,灰頭鷦鶯,0,,,U,,,6,0,0,2,0,N,0,0,,,,,,,,,44.5,45,78,7,3,7,,3,11.1,29.5,20.5,,,,,,,,,,,,,,B,"頭頂眼?上方有一圈紅色,看似瘀血",,頂頭額,
2012B309,2012/12/2,新鳥用,3,陳柏均,N,K36550,,,,灰頭鷦鶯,2,S,,U,,,3,0,0,0,1,N,1,9,,,,,,,,,44.5,45.5,73,7.5,3,6,,3,12.6,28.2,21.9,,,,,,,,,,,,,,B,,,頂頭額,
2012B314,2012/12/9,新鳥用,3,徐紫欽,N,K36551,,,,灰頭鷦鶯,0,,,U,,,6,0,0,0,0,N,1,0,,,,,,,,,42.5,44,68.5,7,3,7,,3,12.8,28.2,19.6,,,,,,,,,,,,,,B,,,頂頭額,
2012B315,2012/12/9,新鳥用,3,林瑞興,N,K36552,,,,灰頭鷦鶯,0,,,U,,,6,0,0,1,0,N,0,0,,,,,,,,,42.5,43.5,66,6.8,3,6,,3,13.3,28.8,20.6,,,,,,,,,,,,,,B,,,頂頭額,
2012B350,2012/12/16,回收,1,柯佳雯,R,K36552,,,,灰頭鷦鶯,0,,,U,,,6,0,0,1,0,N,0,0,,,,,,,,,44,46.5,67,6.8,3,6,,,,,,,,,,,,,,,,,,,B,,,頂頭額,
2013B084,2013/2/24,回收,1,徐紫欽,R,K36552,,,,灰頭鷦鶯,1,S,,U,,,6,0,0,1,0,N,1,0,,,,,,,,,43.5,44.5,,6.5,3,6,,3,13.7,28,20.9,,,,,,,,,,,,,,B,尾羽掉落未測量,,尖仔尾,
2012B316,2012/12/9,新鳥用,3,楊淑絹,N,K36553,,,,灰頭鷦鶯,0,,,U,,,6,0,0,1,0,N,0,0,,,,,,,,,45,46,80,7.5,3,6,,3,11.7,28.6,19.8,,,,,,,,,,,,,,B,,,頂頭額,
2012B317,2012/12/9,新鳥用,3,林忠明,N,K36554,,,,灰頭鷦鶯,0,,,U,,,6,0,0,0,0,N,1,0,,,,,,,,,45,46,72,7.5,3,7,,3,10.5,28.4,20.9,,,,,,,,,,,,,,B,,,頂頭額,
2013B088,2013/2/24,回收,1,張仁川,R,K36554,,,,灰頭鷦鶯,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,,,,,,,,,,,,,,,,,,,B,解鳥直接放飛,,尖仔尾,
2012B320,2012/12/9,新鳥用,3,林忠明,N,K36557,,,,灰頭鷦鶯,0,,,U,,,6,0,0,0,0,N,0,0,,,,,,,,,45,46.5,76,7,3,6,,3,13.6,28.7,20.2,,,,,,,,,,,,,,B,,,頂頭額,
2013B086,2013/2/24,回收,1,陳柏均,R,K36557,,,,灰頭鷦鶯,1,S,,U,,,6,0,0,1,0,N,2,0,,,,,,,,,46,47,70,6.5,3,6,,3,12.2,28,21.7,,,,,,,,,,,,,,B,,,尖仔尾,
2013B076,2013/2/24,新鳥用,1,魏廷羽,N,K36572,,,,灰頭鷦鶯,1,S,,U,,,6,0,0,0,0,N,1,0,,,,,,,,,41,42,69,6.5,3,6,,3,14,27.4,20.5,,,,,,,,,,,,,,B,,,尖仔尾,
20159049,2015/3/20,新鳥用,1,林瑞興,N,K36645,Y,R,Y,灰頭鷦鶯,1,S,,U,,,6,0,0,2,2,N,3,0,,,,,,,,,44.5,46.5,74.5,8,1,,,3,13.1,28.9,21.1,,,,,,,,,,,,,,O,換羽 頭喉明顯〉1/2背少許尾上覆羽明顯〈1/2/性別F?,,合作社,
20159135,2015/11/29,回收,2,蘇美如,R,K36645,Y,R,Y,灰頭鷦鶯,0,,,M,I,,6,0,0,0,1,N,1,0,,,,,,,,,45,47,75,7.5,1,8,,,,,,,,,,,,,,,,,,,O,頭頂換羽嘴巴裡面黑色,,合作社,
2016R134,2016/3/6,回收,1,柯佳雯,R,K36645,Y,R,Y,灰頭鷦鶯,1,S,,M,I,,6,0,0,0,0,N,3,0,,,,,,,,,45,46.5,,7.5,1,8,,,,,,,,,,,,,,,,,,,O,嘴內全黑 尾羽磨損嚴重,,湖本合作社,
20170842,2017/4/16,回收,3,林仁勇,R,K36645,Y,R,Y,灰頭鷦鶯,1,S,,M,C,,5,1,0,0,0,N,3,0,,,,,,,,,45,47,72.5,7.5,1,1,,3,11.3,29.2,23,223B,,,,,,,,,,,,,M,"舌全黑,補色環",,大埔溪,色環YOY更改為YRY
20170893,2017/4/30,回收,6,林仁勇,R,K36645,Y,R,Y,灰頭鷦鶯,1,S,,M,I,,6,0,0,0,1,N,3,0,,,,,,,,,45,46,74,7.5,1,1,,3,13.6,28.2,21.1,,,,,,,,,,,,,,M,"嘴內黑,但喉內不黑",,大埔溪,色環YOY更改為YRY
20159051,2015/3/20,新鳥用,1,林瑞興,N,K36646,Y,R,O,灰頭鷦鶯,1,S,,U,,,6,0,0,2,3,S,3,0,,,,,,,,,42,43.5,,7.8,1,,,3,12.9,28.5,20.5,,,,,,,,,,,,,,O,S7＝3(只有7換羽)T1=2 T2-5=0體換羽全身F?,,合作社,
20159055,2015/3/20,新鳥用,1,林瑞興,N,K36649,Y,R,LB,灰頭鷦鶯,1,S,,M,C,,6,2,0,2,2,N,2,0,,,,,,,,,45,47.5,74,7.6,1,,,3,13.5,28.7,21.1,,,,,,,,,,,,,,O,嘴厚2.4 體換羽全身程度少 尾羽沒換,,合作社,
20159099,2015/9/6,回收,1,林瑞興,R,K36649,Y,R,LB,灰頭鷦鶯,1,S,,M,P,,6,0,0,1,1,S,4,0,,,,,,,,,,,,7.3,1,7,,,,,,,1,1,0,0,0,0,0,0,0,,,,O,尾羽脫落 飛羽磨損嚴重,,合作社,
20159060,2015/4/6,新鳥用,1,林瑞興,N,K36653,Y,O,W,灰頭鷦鶯,1,S,,M,P,,6,2,0,1,0,N,3,0,,,,,,,,,45.5,48.5,,7.2,1,,,3,13.5,28.8,20.1,,,,,,,,,,,,,,O,T1=3 T2-5=0 尾羽換羽 嘴內側全黑(公) 23.72592  120.62170,,合作社,
20159062,2015/4/6,新鳥用,2,林瑞興,N,K36655,Y,R,W,灰頭鷦鶯,1,S,,F,P,I,6,0,0,1,3,N,3,0,,,,,,,,,41,43,,6.4,1,,,3,13.2,28.9,20,,,,,,,,,,,,,,O,尾羽換羽 右T1=0左T1=2 右T2=2 左T3=3其他意外脫落,,合作社,
,2019/4/17,回收,4,蘇美如,R,K36655,Y,R,W,灰頭鷦鶯,1,S,,F,I,,6,0,0,1,0,N,4,0,,,,,,,,,,,54,6.5,1,2,,,,,,,,,,,,,,,,,,,O,飛羽磨損嚴重，尾羽只有中央尾羽換羽完成,,湖本合作社,
